Q.1 What age bracket are you in?,Q.2 What Faculty are you from?,Q.3 What year of study are you in?,Q.4 We are waiting for confirmation from the government – it is possible that more students will be allowed to return to campus at some point in April. How comfortable are you with a potential return to Campus? ,Q.5 Please tell us more about your answer to the previous question
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","As labs are very sterile, I don’t see a reason we still aren’t allowed in. However, I look forward to when we are allowed back in so I can learn transferable skills and gain confidence in those situations"
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","As I'm on a practical course, I feel that going back to campus will extend my knowledge and skills."
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Not at all comfortable, I have serious concerns","As much as I want to get back onto campus, I won't feel safe until young people are getting the vaccine which won't be until after this academic year has finished."
Under 21,The Business School/Faculty of Management,2nd Year,"Very comfortable, I can’t wait to get back",I miss the campus and events a lot and I can't wait to be able to see everyone face to face. 
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Ive been on campus and seen literally no one with a mask on besides me so IF the others wear masks I would be comfortable going back
21-24,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns",I would like to wait until I have had my first vaccination.
21-24,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",Can't wait to be on campus. I started my course in Jan 2021 and I've been taking classes online since then. I want to have a good university experience before I become an alumni
Under 21,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Feel like it could be suitable for those without underlying health issues- would possibly be more of a concern for the more vulnerable 
Under 21,The Business School/Faculty of Management,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.","It’d be nice to get back to normality and go into campus for lectures and seminars. Want to make the most of my years at uni, it’s been de-motivating at times doing everything from home."
50+,Faculty of Health and Social Sciences,PhD or equivalent,"Comfortable, as long as everyone respects physical distancing rules, etc.",I am looking forward to returning to campus but with respect for social distancing
Under 21,Faculty of Health and Social Sciences,2nd Year,"Somewhat comfortable, but I have some concerns","Not sure how it would work with distancing, bit aprehensive"
50+,Faculty of Health and Social Sciences,PhD or equivalent,"Comfortable, as long as everyone respects physical distancing rules, etc.",I am also an academic member of staff and am comfortable with a return but appreciate some online teaching will remain
Under 21,Faculty of Science and Technology,2nd Year,"Very comfortable, I can’t wait to get back",I think it needs to be done because we are paying all this money to sit at home 
21-24,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
25-29,Faculty of Health and Social Sciences,PhD or equivalent,"Comfortable, as long as everyone respects physical distancing rules, etc.","I have a slight nervousness as I'm clinically vulnerable but I feel quite optimistic now that I've had my first vaccination. I know teams at BU are doing everything possible to make the environment safe, and I believe it is safe so long as everyone follows the rules."
21-24,Faculty of Science and Technology,2nd Year,"Somewhat comfortable, but I have some concerns","I think that, depending on how this could work, BU should be told who has been vaccinated and be given test results as soon as the students get them regardless of whether they are positive or negative."
25-29,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
30-39,Faculty of Health and Social Sciences,2nd Year,"Not at all comfortable, I have serious concerns",
30-39,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",Looking forward to some normality and face to face lectures have really struggled working remotely from home.
40-49,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back","It's about time we return to face to face lectures, learning and developing and building human connections.  "
30-39,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Not at all comfortable, I have serious concerns","I feel at this current time, university students are able to complete work needed at home safely. Apart from clinical skills and practice I do not feel the need to rush into going back to the university campus. Younger students at school are needed right now, not at university level. I do not feel it should be considered until the start of next academic year"
40-49,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Somewhat comfortable, but I have some concerns",My anxiety would prefer to carry on at home.
21-24,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",
25-29,Faculty of Health and Social Sciences,2nd Year,"Somewhat comfortable, but I have some concerns",I need to use public transport to get to the university and feel uncomfortable about this at the moment due to COVID.
